id,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,review_bin,high_demand,group,price_original,discount_pct,predicted_high_demand_prob,revenue_proxy
34801761,49130598,Brooklyn,Bushwick,40.69718,-73.92843,Entire home/apt,295.2,2,3,1,19,Low,0,10%_reduction,328,0.1,0.4930909297166612,145.5604424523584
32640289,16098958,Manhattan,Hell's Kitchen,40.76651,-73.98752,Entire home/apt,171.7,30,1,96,327,Low,0,15%_reduction,202,0.15,0.3672228764825158,63.052167892047954
13114443,72931015,Manhattan,East Village,40.72527,-73.98347,Entire home/apt,206.0,1,1,1,0,Low,0,control,206,0.0,0.2087593892886857,43.00443419346926
31120563,9786357,Brooklyn,Prospect Heights,40.68187,-73.97075,Entire home/apt,1662.5,2,5,1,358,Low,0,5%_reduction,1750,0.05,0.31864145254412074,529.7414148546007
35420277,17215584,Manhattan,Financial District,40.70886,-74.00885,Entire home/apt,170.1,3,2,1,339,Low,0,10%_reduction,189,0.1,0.6102943447443153,103.81106804100803
2736911,3758251,Brooklyn,Kensington,40.64468,-73.97208,Entire home/apt,170.0,3,2,1,0,Low,0,15%_reduction,200,0.15,0.3088135836417333,52.49830921909466
13215733,2856748,Manhattan,Kips Bay,40.7394,-73.97996,Entire home/apt,225.0,30,0,49,364,,0,control,225,0.0,0.23347861722636545,52.53268887593223
8652653,21169602,Brooklyn,Greenpoint,40.72714,-73.95088,Entire home/apt,190.0,1,3,1,0,Low,0,5%_reduction,200,0.05,0.2649276305126935,50.33624979741177
35944768,113583961,Brooklyn,Greenpoint,40.71982,-73.94742,Entire home/apt,234.0,2,1,1,245,Low,0,10%_reduction,260,0.1,0.5529941609739951,129.40063366791486
34895399,129589071,Manhattan,Murray Hill,40.7483,-73.97444,Entire home/apt,225.25,30,0,1,351,,0,15%_reduction,265,0.15,0.2650144443748439,59.69450359543359
25546901,29506,Brooklyn,Prospect-Lefferts Gardens,40.66282,-73.95902,Entire home/apt,200.0,5,4,1,1,Low,0,control,200,0.0,0.4482917609872918,89.65835219745836
20766398,76104209,Manhattan,Midtown,40.75014,-73.97001,Entire home/apt,166.25,30,0,33,365,,0,5%_reduction,175,0.05,0.279684828055827,46.49760266428124
36277331,272842040,Manhattan,Upper East Side,40.76703,-73.96979,Entire home/apt,202.5,2,0,1,39,,0,10%_reduction,225,0.1,0.5046303155819639,102.1876389053477
1861281,9709464,Manhattan,East Village,40.72898,-73.98051,Private room,1445.0,1,0,1,0,,0,15%_reduction,1700,0.15,0.15863760851461245,229.231344303615
30387064,107434423,Manhattan,West Village,40.72976,-74.00387,Entire home/apt,350.0,30,0,232,341,,0,control,350,0.0,0.2778781587240432,97.25735555341512
27237577,205031545,Manhattan,Midtown,40.75224,-73.96652,Entire home/apt,700.15,3,1,49,200,Low,0,5%_reduction,737,0.05,0.3789971649711588,265.35486505455685
1655880,8778889,Manhattan,Flatiron District,40.74096,-73.9927,Entire home/apt,1080.0,1,0,1,0,,0,10%_reduction,1200,0.1,0.15399843325688048,166.31830791743093
13113038,72507521,Manhattan,Harlem,40.81245,-73.94085,Entire home/apt,161.5,1,0,1,0,,0,15%_reduction,190,0.15,0.2707450722761978,43.725329172605946
